# Cron vectors derived from Cronos's CronExpressionFacts test suite
# source-class: third-party-comparison (implementation test suite, not an authority)
# source: Cronos -- https://github.com/HangfireIO/Cronos -- tests/Cronos.Tests/CronExpressionFacts.cs
# acquired: 2026-08-05 (delivered user-side; host unreachable from the build env)
# facts-sha256: 2d27080589fc183a1f647468b24053587713e3af52dd346640d98adde1e60bb5
# licence: Cronos is MIT (Copyright (c) 2017 Hangfire OU). Deriving this table and redistributing it
#          with attribution is permitted; the upstream file itself is not committed.
# note: Cronos implements Quartz-flavoured cron. Where it deliberately differs from Vixie, the row is
#       flagged and excluded rather than reconciled -- see corpus/recurrence/README.md.
# flags: quartz-ext        = uses the Quartz L / W / # / ? tokens (Bodu rejects them; planned follow-on)
#        hash              = uses the H jitter token (a Jenkins extension Bodu does not model)
#        cronos-macro      = @every_second / @every_minute, macros Cronos adds beyond crontab(5)
#        wrap-range        = a reversed range such as 55-5 (Cronos wraps; Bodu rejects)
#        oversized-step    = a step wider than its range, e.g. */60 (Cronos throws; cronie warns and
#                            keeps the range start, which is what Bodu does)
#        dom-dow-intersect = both day fields restricted (Cronos intersects; Vixie and Bodu union)
#        seconds-elision   = Cronos drops a zero seconds field from ToString; Bodu renders every field
#        dst               = the row sits within a day of a US Eastern DST transition, where a
#                            zone-free reading of the Cronos fixture is not offset-invariant
name,kind,format,expression,from,expected,flags
next-226,next,withSeconds,0 0 0 1 * *,2017-02-10T00:00:00,2017-03-01T00:00:00,
next-227,next,withSeconds,0 0 0 1 * *,2017-04-10T00:00:00,2017-05-01T00:00:00,
next-228,next,withSeconds,0 0 0 1 * *,2017-01-30T00:00:00,2017-02-01T00:00:00,
next-229,next,withSeconds,0 0 0 * * *,2017-12-31T23:59:00,2018-01-01T00:00:00,
next-230,next,withSeconds,0 0 0 30 * *,2017-02-25T00:00:00,2017-03-30T00:00:00,
next-231,next,withSeconds,0 0 0 31 * *,2017-02-25T00:00:00,2017-03-31T00:00:00,
next-232,next,withSeconds,0 0 0 31 * *,2017-04-01T00:00:00,2017-05-31T00:00:00,
next-233,next,withSeconds,0 0 0 29 2 *,2016-03-10T00:00:00,2020-02-29T00:00:00,
next-234,next,withSeconds,* * * L * *,2016-01-05T00:00:00,2016-01-31T00:00:00,quartz-ext
next-235,next,withSeconds,* * * L * *,2016-01-31T00:00:00,2016-01-31T00:00:00,quartz-ext
next-236,next,withSeconds,* * * L * *,2016-02-05T00:00:00,2016-02-29T00:00:00,quartz-ext
next-237,next,withSeconds,* * * L * *,2016-02-29T00:00:00,2016-02-29T00:00:00,quartz-ext
next-238,next,withSeconds,* * * L 2 *,2016-02-29T00:00:00,2016-02-29T00:00:00,quartz-ext
next-239,next,withSeconds,* * * L * *,2017-02-28T00:00:00,2017-02-28T00:00:00,quartz-ext
next-240,next,withSeconds,* * * L * *,2016-03-05T00:00:00,2016-03-31T00:00:00,quartz-ext
next-241,next,withSeconds,* * * L * *,2016-03-31T00:00:00,2016-03-31T00:00:00,quartz-ext
next-242,next,withSeconds,* * * L * *,2016-04-05T00:00:00,2016-04-30T00:00:00,quartz-ext
next-243,next,withSeconds,* * * L * *,2016-04-30T00:00:00,2016-04-30T00:00:00,quartz-ext
next-244,next,withSeconds,* * * L * *,2016-05-05T00:00:00,2016-05-31T00:00:00,quartz-ext
next-245,next,withSeconds,* * * L * *,2016-05-31T00:00:00,2016-05-31T00:00:00,quartz-ext
next-246,next,withSeconds,* * * L * *,2016-06-05T00:00:00,2016-06-30T00:00:00,quartz-ext
next-247,next,withSeconds,* * * L * *,2016-06-30T00:00:00,2016-06-30T00:00:00,quartz-ext
next-248,next,withSeconds,* * * L * *,2016-07-05T00:00:00,2016-07-31T00:00:00,quartz-ext
next-249,next,withSeconds,* * * L * *,2016-07-31T00:00:00,2016-07-31T00:00:00,quartz-ext
next-250,next,withSeconds,* * * L * *,2016-08-05T00:00:00,2016-08-31T00:00:00,quartz-ext
next-251,next,withSeconds,* * * L * *,2016-08-31T00:00:00,2016-08-31T00:00:00,quartz-ext
next-252,next,withSeconds,* * * L * *,2016-09-05T00:00:00,2016-09-30T00:00:00,quartz-ext
next-253,next,withSeconds,* * * L * *,2016-09-30T00:00:00,2016-09-30T00:00:00,quartz-ext
next-254,next,withSeconds,* * * L * *,2016-10-05T00:00:00,2016-10-31T00:00:00,quartz-ext
next-255,next,withSeconds,* * * L * *,2016-10-31T00:00:00,2016-10-31T00:00:00,quartz-ext
next-256,next,withSeconds,* * * L * *,2016-11-05T00:00:00,2016-11-30T00:00:00,quartz-ext dst
next-257,next,withSeconds,* * * L * *,2016-12-05T00:00:00,2016-12-31T00:00:00,quartz-ext
next-258,next,withSeconds,* * * L * *,2016-12-31T00:00:00,2016-12-31T00:00:00,quartz-ext
next-259,next,withSeconds,* * * L * *,2099-12-05T00:00:00,2099-12-31T00:00:00,quartz-ext
next-260,next,withSeconds,* * * L * *,2099-12-31T00:00:00,2099-12-31T00:00:00,quartz-ext
next-261,next,withSeconds,* * * L-1 * *,2016-01-01T00:00:00,2016-01-30T00:00:00,quartz-ext
next-262,next,withSeconds,* * * L-1 * *,2016-01-29T00:00:00,2016-01-30T00:00:00,quartz-ext
next-263,next,withSeconds,* * * L-1 * *,2016-01-30T00:00:00,2016-01-30T00:00:00,quartz-ext
next-264,next,withSeconds,* * * L-1 * *,2016-01-31T00:00:00,2016-02-28T00:00:00,quartz-ext
next-265,next,withSeconds,* * * L-1 * *,2016-02-01T00:00:00,2016-02-28T00:00:00,quartz-ext
next-266,next,withSeconds,* * * L-1 * *,2016-02-28T00:00:00,2016-02-28T00:00:00,quartz-ext
next-267,next,withSeconds,* * * L-1 * *,2017-02-01T00:00:00,2017-02-27T00:00:00,quartz-ext
next-268,next,withSeconds,* * * L-1 * *,2017-02-27T00:00:00,2017-02-27T00:00:00,quartz-ext
next-269,next,withSeconds,* * * L-1 * *,2016-04-01T00:00:00,2016-04-29T00:00:00,quartz-ext
next-270,next,withSeconds,* * * L-1 * *,2016-04-29T00:00:00,2016-04-29T00:00:00,quartz-ext
next-271,next,withSeconds,* * * L-1 * *,2016-12-01T00:00:00,2016-12-30T00:00:00,quartz-ext
next-272,next,withSeconds,* * * L-2 * *,2016-01-05T00:00:00,2016-01-29T00:00:00,quartz-ext
next-273,next,withSeconds,* * * L-2 * *,2016-01-30T00:00:00,2016-02-27T00:00:00,quartz-ext
next-274,next,withSeconds,* * * L-2 * *,2016-02-01T00:00:00,2016-02-27T00:00:00,quartz-ext
next-275,next,withSeconds,* * * L-2 * *,2017-02-01T00:00:00,2017-02-26T00:00:00,quartz-ext
next-276,next,withSeconds,* * * L-2 * *,2016-04-01T00:00:00,2016-04-28T00:00:00,quartz-ext
next-277,next,withSeconds,* * * L-2 * *,2016-12-01T00:00:00,2016-12-29T00:00:00,quartz-ext
next-278,next,withSeconds,* * * L-2 * *,2016-12-29T00:00:00,2016-12-29T00:00:00,quartz-ext
next-279,next,withSeconds,* * * L-2 * *,2016-12-30T00:00:00,2017-01-29T00:00:00,quartz-ext
next-280,next,withSeconds,* * * L-28 * *,2016-01-01T00:00:00,2016-01-03T00:00:00,quartz-ext
next-281,next,withSeconds,* * * L-28 * *,2016-04-01T00:00:00,2016-04-02T00:00:00,quartz-ext
next-282,next,withSeconds,* * * L-28 * *,2016-02-01T00:00:00,2016-02-01T00:00:00,quartz-ext
next-283,next,withSeconds,* * * L-28 * *,2017-02-01T00:00:00,2017-03-03T00:00:00,quartz-ext
next-284,next,withSeconds,* * * L-29 * *,2016-01-01T00:00:00,2016-01-02T00:00:00,quartz-ext
next-285,next,withSeconds,* * * L-29 * *,2016-04-01T00:00:00,2016-04-01T00:00:00,quartz-ext
next-286,next,withSeconds,* * * L-29 * *,2016-02-01T00:00:00,2016-03-02T00:00:00,quartz-ext
next-287,next,withSeconds,* * * L-29 * *,2017-02-01T00:00:00,2017-03-02T00:00:00,quartz-ext
next-288,next,withSeconds,* * * L-30 * *,2016-01-01T00:00:00,2016-01-01T00:00:00,quartz-ext
next-289,next,withSeconds,* * * L-30 * *,2016-04-01T00:00:00,2016-05-01T00:00:00,quartz-ext
next-290,next,withSeconds,* * * L-30 * *,2016-02-01T00:00:00,2016-03-01T00:00:00,quartz-ext
next-291,next,withSeconds,* * * L-30 * *,2017-02-01T00:00:00,2017-03-01T00:00:00,quartz-ext
next-292,next,withSeconds,* * * * * 0L,2017-01-29T00:00:00,2017-01-29T00:00:00,quartz-ext
next-293,next,withSeconds,* * * * * 0L,2017-01-01T00:00:00,2017-01-29T00:00:00,quartz-ext
next-294,next,withSeconds,* * * * * SUNL,2017-01-01T00:00:00,2017-01-29T00:00:00,quartz-ext
next-295,next,withSeconds,* * * * * 1L,2017-01-30T00:00:00,2017-01-30T00:00:00,quartz-ext
next-296,next,withSeconds,* * * * * 1L,2017-01-01T00:00:00,2017-01-30T00:00:00,quartz-ext
next-297,next,withSeconds,* * * * * MONL,2017-01-01T00:00:00,2017-01-30T00:00:00,quartz-ext
next-298,next,withSeconds,* * * * * 2L,2017-01-31T00:00:00,2017-01-31T00:00:00,quartz-ext
next-299,next,withSeconds,* * * * * 2L,2017-01-01T00:00:00,2017-01-31T00:00:00,quartz-ext
next-300,next,withSeconds,* * * * * TUEL,2017-01-01T00:00:00,2017-01-31T00:00:00,quartz-ext
next-301,next,withSeconds,* * * * * 3L,2017-01-25T00:00:00,2017-01-25T00:00:00,quartz-ext
next-302,next,withSeconds,* * * * * 3L,2017-01-01T00:00:00,2017-01-25T00:00:00,quartz-ext
next-303,next,withSeconds,* * * * * WEDL,2017-01-01T00:00:00,2017-01-25T00:00:00,quartz-ext
next-304,next,withSeconds,* * * * * 4L,2017-01-26T00:00:00,2017-01-26T00:00:00,quartz-ext
next-305,next,withSeconds,* * * * * 4L,2017-01-01T00:00:00,2017-01-26T00:00:00,quartz-ext
next-306,next,withSeconds,* * * * * THUL,2017-01-01T00:00:00,2017-01-26T00:00:00,quartz-ext
next-307,next,withSeconds,* * * * * 5L,2017-01-27T00:00:00,2017-01-27T00:00:00,quartz-ext
next-308,next,withSeconds,* * * * * 5L,2017-01-01T00:00:00,2017-01-27T00:00:00,quartz-ext
next-309,next,withSeconds,* * * * * FRIL,2017-01-01T00:00:00,2017-01-27T00:00:00,quartz-ext
next-310,next,withSeconds,* * * * * 6L,2017-01-28T00:00:00,2017-01-28T00:00:00,quartz-ext
next-311,next,withSeconds,* * * * * 6L,2017-01-01T00:00:00,2017-01-28T00:00:00,quartz-ext
next-312,next,withSeconds,* * * * * SATL,2017-01-01T00:00:00,2017-01-28T00:00:00,quartz-ext
next-313,next,withSeconds,* * * * * 7L,2017-01-29T00:00:00,2017-01-29T00:00:00,quartz-ext
next-314,next,withSeconds,* * * * * 7L,2016-12-31T00:00:00,2017-01-29T00:00:00,quartz-ext
next-315,next,withSeconds,* * * * * SUN#1,2017-01-01T00:00:00,2017-01-01T00:00:00,quartz-ext
next-316,next,withSeconds,* * * * * 0#1,2017-01-01T00:00:00,2017-01-01T00:00:00,quartz-ext
next-317,next,withSeconds,* * * * * 0#1,2016-12-10T00:00:00,2017-01-01T00:00:00,quartz-ext
next-318,next,withSeconds,* * * * * 0#1,2017-02-01T00:00:00,2017-02-05T00:00:00,quartz-ext
next-319,next,withSeconds,* * * * * 0#2,2017-01-01T00:00:00,2017-01-08T00:00:00,quartz-ext
next-320,next,withSeconds,* * * * * 0#2,2017-01-08T00:00:00,2017-01-08T00:00:00,quartz-ext
next-321,next,withSeconds,* * * * * 5#3,2017-01-01T00:00:00,2017-01-20T00:00:00,quartz-ext
next-322,next,withSeconds,* * * * * 5#3,2017-01-21T00:00:00,2017-02-17T00:00:00,quartz-ext
next-323,next,withSeconds,* * * * * 3#2,2017-01-01T00:00:00,2017-01-11T00:00:00,quartz-ext
next-324,next,withSeconds,* * * * * 2#5,2017-02-01T00:00:00,2017-05-30T00:00:00,quartz-ext
next-325,next,withSeconds,* * * 1W * *,2017-01-01T00:00:00,2017-01-02T00:00:00,quartz-ext
next-326,next,withSeconds,* * * 2W * *,2017-01-02T00:00:00,2017-01-02T00:00:00,quartz-ext
next-327,next,withSeconds,* * * 6W * *,2017-01-02T00:00:00,2017-01-06T00:00:00,quartz-ext
next-328,next,withSeconds,* * * 7W * *,2017-01-02T00:00:00,2017-01-06T00:00:00,quartz-ext
next-329,next,withSeconds,* * * 7W * *,2017-01-07T00:00:00,2017-02-07T00:00:00,quartz-ext
next-330,next,withSeconds,* * * 8W * *,2017-01-02T00:00:00,2017-01-09T00:00:00,quartz-ext
next-331,next,withSeconds,* * * 30W * *,2017-04-27T00:00:00,2017-04-28T00:00:00,quartz-ext
next-332,next,withSeconds,* * * 30W * *,2017-04-28T00:00:00,2017-04-28T00:00:00,quartz-ext
next-333,next,withSeconds,* * * 30W * *,2017-04-29T00:00:00,2017-05-30T00:00:00,quartz-ext
next-334,next,withSeconds,* * * 1W * *,2017-04-01T00:00:00,2017-04-03T00:00:00,quartz-ext
next-335,next,withSeconds,0 30 10 1W * *,2017-04-01T00:00:00,2017-04-03T10:30:00,quartz-ext
next-336,next,withSeconds,0 30 10 1W * *,2017-04-01T12:00:00,2017-04-03T10:30:00,quartz-ext
next-337,next,withSeconds,0 30 10 1W * *,2017-04-02T00:00:00,2017-04-03T10:30:00,quartz-ext
next-338,next,withSeconds,0 30 10 1W * *,2017-04-02T12:00:00,2017-04-03T10:30:00,quartz-ext
next-339,next,withSeconds,0 30 10 1W * *,2017-04-03T00:00:00,2017-04-03T10:30:00,quartz-ext
next-340,next,withSeconds,0 30 10 1W * *,2017-04-03T12:00:00,2017-05-01T10:30:00,quartz-ext
next-341,next,withSeconds,0 30 10 2W * *,2017-04-01T00:00:00,2017-04-03T10:30:00,quartz-ext
next-342,next,withSeconds,0 30 10 2W * *,2017-04-01T12:00:00,2017-04-03T10:30:00,quartz-ext
next-343,next,withSeconds,0 30 10 2W * *,2017-04-02T00:00:00,2017-04-03T10:30:00,quartz-ext
next-344,next,withSeconds,0 30 10 2W * *,2017-04-02T12:00:00,2017-04-03T10:30:00,quartz-ext
next-345,next,withSeconds,0 30 10 2W * *,2017-04-03T00:00:00,2017-04-03T10:30:00,quartz-ext
next-346,next,withSeconds,0 30 10 2W * *,2017-04-03T12:00:00,2017-05-02T10:30:00,quartz-ext
next-347,next,withSeconds,0 30 17 7W * *,2017-01-06T17:45:00,2017-02-07T17:30:00,quartz-ext
next-348,next,withSeconds,"0 30,45 17 7W * *",2017-01-06T17:45:00,2017-01-06T17:45:00,quartz-ext
next-349,next,withSeconds,"0 30,55 17 7W * *",2017-01-06T17:45:00,2017-01-06T17:55:00,quartz-ext
next-350,next,withSeconds,0 30 17 8W * *,2017-01-08T19:45:00,2017-01-09T17:30:00,quartz-ext
next-351,next,withSeconds,0 30 17 30W * *,2017-04-28T17:45:00,2017-05-30T17:30:00,quartz-ext
next-352,next,withSeconds,"0 30,45 17 30W * *",2017-04-28T17:45:00,2017-04-28T17:45:00,quartz-ext
next-353,next,withSeconds,"0 30,55 17 30W * *",2017-04-28T17:45:00,2017-04-28T17:55:00,quartz-ext
next-354,next,withSeconds,0 30 17 30W * *,2017-02-06T00:00:00,2017-03-30T17:30:00,quartz-ext
next-355,next,withSeconds,0 30 17 31W * *,2018-03-30T17:45:00,2018-05-31T17:30:00,quartz-ext
next-356,next,withSeconds,0 30 17 15W * *,2016-12-30T17:45:00,2017-01-16T17:30:00,quartz-ext
next-357,next,withSeconds,0 30 17 27W * 1L,2017-03-10T17:45:00,2017-03-27T17:30:00,quartz-ext dom-dow-intersect
next-358,next,withSeconds,0 30 17 27W * 1#4,2017-03-10T17:45:00,2017-03-27T17:30:00,quartz-ext dom-dow-intersect
next-359,next,withSeconds,* * * LW * *,2017-01-01T00:00:00,2017-01-31T00:00:00,quartz-ext
next-360,next,withSeconds,* * * LW * *,2017-09-01T00:00:00,2017-09-29T00:00:00,quartz-ext
next-361,next,withSeconds,* * * LW * *,2017-09-29T00:00:00,2017-09-29T00:00:00,quartz-ext
next-362,next,withSeconds,* * * LW * *,2017-09-30T00:00:00,2017-10-31T00:00:00,quartz-ext
next-363,next,withSeconds,* * * LW * *,2017-04-01T00:00:00,2017-04-28T00:00:00,quartz-ext
next-364,next,withSeconds,* * * LW * *,2017-04-28T00:00:00,2017-04-28T00:00:00,quartz-ext
next-365,next,withSeconds,* * * LW * *,2017-04-29T00:00:00,2017-05-31T00:00:00,quartz-ext
next-366,next,withSeconds,* * * LW * *,2017-05-30T00:00:00,2017-05-31T00:00:00,quartz-ext
next-367,next,withSeconds,0 30 17 LW * *,2017-09-29T17:45:00,2017-10-31T17:30:00,quartz-ext
next-368,next,withSeconds,* * * L-1W * *,2017-01-01T00:00:00,2017-01-30T00:00:00,quartz-ext
next-369,next,withSeconds,* * * L-2W * *,2017-01-01T00:00:00,2017-01-30T00:00:00,quartz-ext
next-370,next,withSeconds,* * * L-3W * *,2017-01-01T00:00:00,2017-01-27T00:00:00,quartz-ext
next-371,next,withSeconds,* * * L-4W * *,2017-01-01T00:00:00,2017-01-27T00:00:00,quartz-ext
next-372,next,withSeconds,* * * L-0W * *,2016-02-01T00:00:00,2016-02-29T00:00:00,quartz-ext
next-373,next,withSeconds,* * * L-0W * *,2017-02-01T00:00:00,2017-02-28T00:00:00,quartz-ext
next-374,next,withSeconds,* * * L-1W * *,2016-02-01T00:00:00,2016-02-29T00:00:00,quartz-ext
next-375,next,withSeconds,* * * L-1W * *,2017-02-01T00:00:00,2017-02-27T00:00:00,quartz-ext
next-376,next,withSeconds,* * * L-2W * *,2016-02-01T00:00:00,2016-02-26T00:00:00,quartz-ext
next-377,next,withSeconds,* * * L-2W * *,2017-02-01T00:00:00,2017-02-27T00:00:00,quartz-ext
next-378,next,withSeconds,* * * L-3W * *,2016-02-01T00:00:00,2016-02-26T00:00:00,quartz-ext
next-379,next,withSeconds,* * * L-3W * *,2017-02-01T00:00:00,2017-02-24T00:00:00,quartz-ext
next-380,next,withSeconds,* * * ? 11 *,2016-10-09T00:00:00,2016-11-01T00:00:00,quartz-ext
next-381,next,withSeconds,? ? ? ? ? ?,2016-12-09T16:46:00,2016-12-09T16:46:00,quartz-ext dom-dow-intersect
next-382,next,withSeconds,* * * * * ?,2016-12-09T16:46:00,2016-12-09T16:46:00,quartz-ext
next-383,next,withSeconds,* * * ? * *,2016-03-09T16:46:00,2016-03-09T16:46:00,quartz-ext
next-384,next,withSeconds,* * * * * ?,2016-12-30T16:46:00,2016-12-30T16:46:00,quartz-ext
next-385,next,withSeconds,* * * ? * *,2016-12-09T02:46:00,2016-12-09T02:46:00,quartz-ext
next-386,next,withSeconds,* * * * * ?,2016-12-09T16:09:00,2016-12-09T16:09:00,quartz-ext
next-387,next,withSeconds,* * * ? * *,2099-12-09T16:46:00,2099-12-09T16:46:00,quartz-ext
next-388,next,withSeconds,* * * * * *,1900-02-20T16:46:00,1900-02-20T16:46:00,
next-389,next,withSeconds,* * * * * *,2000-02-28T16:46:00,2000-02-28T16:46:00,
next-390,next,withSeconds,* * * * * *,2000-12-31T16:46:00,2000-12-31T16:46:00,
next-391,next,withSeconds,* * * lw * *,2017-05-30T00:00:00,2017-05-31T00:00:00,quartz-ext
next-392,next,withSeconds,* * * l-0w * *,2016-02-01T00:00:00,2016-02-29T00:00:00,quartz-ext
next-393,next,withSeconds,0 30 17 27w * 1l,2017-03-10T17:45:00,2017-03-27T17:30:00,quartz-ext dom-dow-intersect
next-394,next,withSeconds,0 30 17 27w * mOnL,2017-03-10T17:45:00,2017-03-27T17:30:00,quartz-ext dom-dow-intersect
next-395,next,withSeconds,"0 57,20/20,30/20,32-34/2,58 * * * *",2017-04-17T17:00:00,2017-04-17T17:20:00,
next-396,next,withSeconds,"0 57,20/20,30/20,32-34/2,58 * * * *",2017-04-17T17:21:00,2017-04-17T17:30:00,
next-397,next,withSeconds,"0 57,20/20,30/20,32-34/2,58 * * * *",2017-04-17T17:31:00,2017-04-17T17:32:00,
next-398,next,withSeconds,"0 57,20/20,30/20,32-34/2,58 * * * *",2017-04-17T17:33:00,2017-04-17T17:34:00,
next-399,next,withSeconds,"0 57,20/20,30/20,32-34/2,58 * * * *",2017-04-17T17:35:00,2017-04-17T17:40:00,
next-400,next,withSeconds,"0 57,20/20,30/20,32-34/2,58 * * * *",2017-04-17T17:41:00,2017-04-17T17:50:00,
next-401,next,withSeconds,"0 57,20/20,30/20,32-34/2,58 * * * *",2017-04-17T17:51:00,2017-04-17T17:57:00,
next-402,next,withSeconds,"0 57,20/20,30/20,32-34/2,58 * * * *",2017-04-17T17:58:00,2017-04-17T17:58:00,
next-403,next,withSeconds,"0 57,20/20,30/20,32-34/2,58 * * * *",2017-04-17T17:59:00,2017-04-17T18:20:00,
next-404,next,standard,* * * * *,2016-12-09T17:35:00,2016-12-09T17:35:00,
next-405,next,standard,* * * * *,2016-12-09T17:35:01,2016-12-09T17:36:00,
next-406,next,standard,* * * * *,2016-12-09T17:35:59,2016-12-09T17:36:00,
next-407,next,standard,* * * * *,2016-12-09T17:36:00,2016-12-09T17:36:00,
next-408,next,standard,12 * * * *,2016-12-09T15:05:00,2016-12-09T15:12:00,
next-409,next,standard,12 * * * *,2016-12-09T15:12:00,2016-12-09T15:12:00,
next-410,next,standard,12 * * * *,2016-12-09T15:59:00,2016-12-09T16:12:00,
next-411,next,standard,31-39 * * * *,2016-12-09T15:00:00,2016-12-09T15:31:00,
next-412,next,standard,31-39 * * * *,2016-12-09T15:30:00,2016-12-09T15:31:00,
next-413,next,standard,31-39 * * * *,2016-12-09T15:31:00,2016-12-09T15:31:00,
next-414,next,standard,31-39 * * * *,2016-12-09T15:39:00,2016-12-09T15:39:00,
next-415,next,standard,31-39 * * * *,2016-12-09T15:59:00,2016-12-09T16:31:00,
next-416,next,standard,*/20 * * * *,2016-12-09T15:00:00,2016-12-09T15:00:00,
next-417,next,standard,*/20 * * * *,2016-12-09T15:10:00,2016-12-09T15:20:00,
next-418,next,standard,*/20 * * * *,2016-12-09T15:59:00,2016-12-09T16:00:00,
next-419,next,standard,10/5 * * * *,2016-12-09T15:00:00,2016-12-09T15:10:00,
next-420,next,standard,10/5 * * * *,2016-12-09T15:14:00,2016-12-09T15:15:00,
next-421,next,standard,10/5 * * * *,2016-12-09T15:59:00,2016-12-09T16:10:00,
next-422,next,standard,0 * * * *,2016-12-09T15:59:00,2016-12-09T16:00:00,
next-423,next,standard,44 * * * *,2016-12-09T19:44:01,2016-12-09T20:44:00,
next-424,next,standard,44 * * * *,2016-12-09T19:44:30,2016-12-09T20:44:00,
next-425,next,standard,44 * * * *,2016-12-09T19:44:59,2016-12-09T20:44:00,
next-426,next,standard,44 * * * *,2016-12-09T19:45:00,2016-12-09T20:44:00,
next-427,next,standard,"5-8,19,20,35-41 * * * *",2016-12-09T15:01:00,2016-12-09T15:05:00,
next-428,next,standard,"5-8,19,20,35-41 * * * *",2016-12-09T15:06:00,2016-12-09T15:06:00,
next-429,next,standard,"5-8,19,20,35-41 * * * *",2016-12-09T15:18:00,2016-12-09T15:19:00,
next-430,next,standard,"5-8,19,20,35-41 * * * *",2016-12-09T15:19:00,2016-12-09T15:19:00,
next-431,next,standard,"5-8,19,20,35-41 * * * *",2016-12-09T15:20:00,2016-12-09T15:20:00,
next-432,next,standard,"5-8,19,20,35-41 * * * *",2016-12-09T15:21:00,2016-12-09T15:35:00,
next-433,next,standard,"5-8,19,20,35-41 * * * *",2016-12-09T15:36:00,2016-12-09T15:36:00,
next-434,next,standard,"5-8,19,20,35-41 * * * *",2016-12-09T15:42:00,2016-12-09T16:05:00,
next-435,next,standard,51-4 * * * *,2016-12-09T17:35:00,2016-12-09T17:51:00,wrap-range
next-436,next,standard,51-4 * * * *,2016-12-09T17:51:00,2016-12-09T17:51:00,wrap-range
next-437,next,standard,51-4 * * * *,2016-12-09T17:55:00,2016-12-09T17:55:00,wrap-range
next-438,next,standard,51-4 * * * *,2016-12-09T17:59:00,2016-12-09T17:59:00,wrap-range
next-439,next,standard,51-4 * * * *,2016-12-09T18:00:00,2016-12-09T18:00:00,wrap-range
next-440,next,standard,51-4 * * * *,2016-12-09T18:04:00,2016-12-09T18:04:00,wrap-range
next-441,next,standard,51-4 * * * *,2016-12-09T18:05:00,2016-12-09T18:51:00,wrap-range
next-442,next,standard,56-4/4 * * * *,2016-12-09T17:55:00,2016-12-09T17:56:00,wrap-range oversized-step
next-443,next,standard,56-4/4 * * * *,2016-12-09T17:57:00,2016-12-09T18:00:00,wrap-range oversized-step
next-444,next,standard,56-4/4 * * * *,2016-12-09T18:01:00,2016-12-09T18:04:00,wrap-range oversized-step
next-445,next,standard,56-4/4 * * * *,2016-12-09T18:05:00,2016-12-09T18:56:00,wrap-range oversized-step
next-446,next,standard,45-44 * * * *,2016-12-09T18:45:00,2016-12-09T18:45:00,wrap-range
next-447,next,standard,45-44 * * * *,2016-12-09T18:55:00,2016-12-09T18:55:00,wrap-range
next-448,next,standard,45-44 * * * *,2016-12-09T18:59:00,2016-12-09T18:59:00,wrap-range
next-449,next,standard,45-44 * * * *,2016-12-09T19:00:00,2016-12-09T19:00:00,wrap-range
next-450,next,standard,45-44 * * * *,2016-12-09T19:44:00,2016-12-09T19:44:00,wrap-range
next-451,next,standard,* 11 * * *,2016-12-09T10:59:00,2016-12-09T11:00:00,
next-452,next,standard,* 11 * * *,2016-12-09T11:30:00,2016-12-09T11:30:00,
next-453,next,standard,* 3-22 * * *,2016-12-09T01:40:00,2016-12-09T03:00:00,
next-454,next,standard,* 3-22 * * *,2016-12-09T11:40:00,2016-12-09T11:40:00,
next-455,next,standard,* */2 * * *,2016-12-09T00:00:00,2016-12-09T00:00:00,
next-456,next,standard,* */2 * * *,2016-12-09T01:00:00,2016-12-09T02:00:00,
next-457,next,standard,* 4/5 * * *,2016-12-09T00:45:00,2016-12-09T04:00:00,
next-458,next,standard,* 4/5 * * *,2016-12-09T04:14:00,2016-12-09T04:14:00,
next-459,next,standard,* 4/5 * * *,2016-12-09T05:00:00,2016-12-09T09:00:00,
next-460,next,standard,"* 3-5,10,11,13-17 * * *",2016-12-09T01:55:00,2016-12-09T03:00:00,
next-461,next,standard,"* 3-5,10,11,13-17 * * *",2016-12-09T04:55:00,2016-12-09T04:55:00,
next-462,next,standard,"* 3-5,10,11,13-17 * * *",2016-12-09T06:10:00,2016-12-09T10:00:00,
next-463,next,standard,"* 3-5,10,11,13-17 * * *",2016-12-09T10:55:00,2016-12-09T10:55:00,
next-464,next,standard,"* 3-5,10,11,13-17 * * *",2016-12-09T11:25:00,2016-12-09T11:25:00,
next-465,next,standard,"* 3-5,10,11,13-17 * * *",2016-12-09T12:30:00,2016-12-09T13:00:00,
next-466,next,standard,"* 3-5,10,11,13-17 * * *",2016-12-09T17:30:00,2016-12-09T17:30:00,
next-467,next,standard,* 23-3/2 * * *,2016-12-09T17:30:00,2016-12-09T23:00:00,wrap-range oversized-step
next-468,next,standard,* 23-3/2 * * *,2016-12-09T00:30:00,2016-12-09T01:00:00,wrap-range oversized-step
next-469,next,standard,* 23-3/2 * * *,2016-12-09T02:00:00,2016-12-09T03:00:00,wrap-range oversized-step
next-470,next,standard,* 23-3/2 * * *,2016-12-09T04:00:00,2016-12-09T23:00:00,wrap-range oversized-step
next-471,next,standard,* 23-22 * * *,2016-12-09T22:10:00,2016-12-09T22:10:00,wrap-range
next-472,next,standard,* 23-22 * * *,2016-12-09T23:10:00,2016-12-09T23:10:00,wrap-range
next-473,next,standard,* 23-22 * * *,2016-12-09T00:10:00,2016-12-09T00:10:00,wrap-range
next-474,next,standard,* 23-22 * * *,2016-12-09T07:10:00,2016-12-09T07:10:00,wrap-range
